Re,alpha,cl,cd,eta
50000,-11.25,-0.3263,0.12745,2.560219694
50000,-11,-0.7535,0.07613,9.897543675
50000,-10.75,-0.7839,0.07366,10.64213956
50000,-10.5,-0.8154,0.07132,11.43297813
50000,-10.25,-0.8458,0.06853,12.34203998
50000,-10,-0.8737,0.06543,13.3532019
50000,-9.75,-0.8987,0.06221,14.44623051
50000,-9.5,-0.9198,0.05885,15.62956669
50000,-9.25,-0.9208,0.05588,16.4781675
50000,-9,-0.9185,0.05371,17.10109849
50000,-8.75,-0.9301,0.05056,18.39596519
50000,-8.5,-0.9178,0.04862,18.87700535
50000,-8.25,-0.9178,0.04572,20.0743657
50000,-8,-0.9079,0.04398,20.64347431
50000,-7.75,-0.8956,0.04216,21.24288425
50000,-7.5,-0.8844,0.04046,21.8586258
50000,-7.25,-0.8723,0.03881,22.47616594
50000,-7,-0.857,0.03763,22.77438214
50000,-6.75,-0.8439,0.03626,23.2735797
50000,-6.5,-0.8284,0.03527,23.48738305
50000,-6.25,-0.8136,0.03427,23.74088124
50000,-6,-0.7984,0.0334,23.90419162
50000,-5.75,-0.783,0.03265,23.98162328
50000,-5.5,-0.7676,0.03198,24.00250156
50000,-5.25,-0.7519,0.03152,23.85469543
50000,-5,-0.736,0.03128,23.52941176
50000,-4.75,-0.7208,0.03113,23.15451333
50000,-4.5,-0.7055,0.03139,22.47531061
50000,-4.25,-0.6907,0.03181,21.71329771
50000,-4,-0.6765,0.03229,20.95075875
50000,-3.75,-0.663,0.03283,20.19494365
50000,-3.5,-0.6498,0.0334,19.45508982
50000,-3.25,-0.6371,0.03401,18.73272567
50000,-3,-0.6243,0.03458,18.05378832
50000,-2.75,-0.6115,0.0351,17.42165242
50000,-2.5,-0.5981,0.03556,16.81946007
50000,-2.25,-0.5786,0.0362,15.98342541
50000,-2,-0.552,0.03687,14.97152156
50000,-1.75,-0.5113,0.03774,13.54795972
50000,-1.5,-0.4519,0.03889,11.61995372
50000,-1.25,-0.3755,0.04018,9.345445495
50000,-1,-0.2888,0.04133,6.987660295
50000,-0.75,-0.2124,0.04212,5.042735043
50000,-0.5,-0.1312,0.0429,3.058275058
50000,-0.25,-0.114,0.04267,2.671666276
50000,0,-0.1155,0.04213,2.74151436
50000,0.25,-0.1168,0.04162,2.806343104
50000,0.5,-0.1181,0.04113,2.871383418
50000,0.75,-0.1194,0.04066,2.936546975
50000,1,-0.1207,0.0402,3.002487562
50000,1.25,-0.1219,0.03975,3.066666667
50000,1.5,-0.123,0.03931,3.128974816
50000,1.75,-0.1237,0.0389,3.179948586
50000,2,-0.1234,0.03855,3.201037613
50000,2.25,-0.1216,0.03829,3.175763907
50000,2.5,-0.1174,0.03819,3.074103168
50000,2.75,-0.1095,0.03832,2.857515658
50000,3,-0.0986,0.03866,2.550439731
50000,3.25,-0.0856,0.03919,2.184230671
50000,3.5,-0.0715,0.03986,1.793778224
50000,3.75,-0.0566,0.04064,1.392716535
50000,4,-0.0414,0.04153,0.996869733
50000,4.25,-0.026,0.0425,0.611764706
50000,4.5,-0.0107,0.04357,0.245581822
50000,4.75,0.0223,0.04603,0.484466652
50000,5.25,0.1074,0.05232,2.052752294
50000,5.5,0.1371,0.05393,2.542184313
50000,5.75,0.1745,0.05622,3.103877624
50000,6,0.2961,0.05721,5.175668589
50000,6.25,0.345,0.0582,5.927835052
50000,6.5,0.3639,0.0588,6.18877551
50000,6.75,0.406,0.05942,6.832716257
50000,7,0.4337,0.0599,7.240400668
50000,7.25,0.4719,0.06013,7.847996009
50000,7.5,0.5043,0.06021,8.375685102
50000,7.75,0.5413,0.05988,9.039746159
50000,8,0.5824,0.05894,9.881235154
50000,8.25,0.6157,0.05806,10.60454702
50000,8.5,0.6846,0.05387,12.70837201
50000,8.75,0.7292,0.05059,14.41391579
50000,9,0.8629,0.03774,22.86433492
50000,9.25,0.9283,0.03358,27.64443121
50000,9.5,0.9486,0.03429,27.66404199
50000,9.75,0.9657,0.03578,26.98993851
50000,10,0.9834,0.03754,26.19605754
50000,10.25,1.0054,0.03944,25.49188641
50000,10.5,1.0291,0.04161,24.73203557
50000,10.75,1.0568,0.04397,24.03456902
50000,11,1.0762,0.04654,23.12419424
50000,11.25,1.0936,0.04916,22.24572823
50000,11.5,1.1182,0.05228,21.38867636
50000,11.75,1.1092,0.05481,20.237183
50000,12,1.1322,0.05827,19.43023854
50000,12.25,1.1156,0.06124,18.21685173
50000,12.5,1.0973,0.06451,17.00976593
50000,12.75,1.0771,0.06803,15.83272086
50000,13,1.0537,0.07196,14.64285714
50000,13.25,1.0252,0.07658,13.38730739
50000,13.5,0.9921,0.08201,12.09730521
50000,13.75,0.9587,0.08827,10.86099468
50000,14,0.9256,0.09536,9.706375839
50000,14.25,0.8966,0.10316,8.691353238
100000,-13.5,-0.6989,0.07336,9.526990185
100000,-13.25,-0.7245,0.06903,10.49543677
100000,-13,-0.7554,0.06583,11.47501139
100000,-12.75,-0.7839,0.0634,12.36435331
100000,-12.5,-0.81,0.06137,13.19863125
100000,-12.25,-0.8393,0.05953,14.09877373
100000,-12,-0.8699,0.05812,14.96730902
100000,-11.75,-0.8993,0.05676,15.84390416
100000,-11.5,-0.927,0.05538,16.73889491
100000,-11.25,-0.9516,0.05391,17.65164162
100000,-11,-0.9722,0.05226,18.60313816
100000,-10.75,-0.9895,0.05066,19.53217529
100000,-10.5,-0.9905,0.04721,20.98072442
100000,-10.25,-0.9898,0.04545,21.77777778
100000,-10,-0.9893,0.04383,22.5712982
100000,-9.75,-0.9904,0.04227,23.43032884
100000,-9.5,-0.986,0.03998,24.66233117
100000,-9.25,-0.9761,0.03858,25.30067392
100000,-9,-0.969,0.03726,26.00644122
100000,-8.75,-0.9575,0.03556,26.92632171
100000,-8.5,-0.9469,0.03444,27.4941928
100000,-8.25,-0.9343,0.03307,28.25219232
100000,-8,-0.922,0.03198,28.83051907
100000,-7.75,-0.9086,0.03089,29.41404985
100000,-7.5,-0.8951,0.02982,30.01676727
100000,-7.25,-0.8665,0.02901,29.86901069
100000,-7,-0.8402,0.02819,29.80489535
100000,-6.75,-0.8177,0.02753,29.70214312
100000,-6.5,-0.7919,0.02698,29.35137139
100000,-6.25,-0.7655,0.02653,28.8541274
100000,-6,-0.7438,0.02603,28.57472148
100000,-5.75,-0.7196,0.02567,28.03272302
100000,-5.5,-0.6907,0.02556,27.02269171
100000,-5.25,-0.672,0.02519,26.67725288
100000,-5,-0.6492,0.02498,25.98879103
100000,-4.75,-0.6225,0.02498,24.91993595
100000,-4.5,-0.5965,0.02511,23.75547591
100000,-4.25,-0.5798,0.02503,23.16420296
100000,-4,-0.557,0.02523,22.07689259
100000,-3.75,-0.5299,0.02571,20.61065733
100000,-3.5,-0.5063,0.0262,19.32442748
100000,-3.25,-0.4911,0.02642,18.58819076
100000,-3,-0.4704,0.02689,17.493492
100000,-2.75,-0.4473,0.0275,16.26545455
100000,-2.5,-0.4229,0.02825,14.9699115
100000,-2.25,-0.4113,0.02852,14.42145863
100000,-2,-0.3955,0.02907,13.60509116
100000,-1.75,-0.3733,0.02977,12.53946926
100000,-1.5,-0.3519,0.03044,11.56044678
100000,-1.25,-0.3433,0.0307,11.18241042
100000,-1,-0.3279,0.03108,10.55019305
100000,-0.75,-0.3001,0.03175,9.451968504
100000,-0.5,-0.2914,0.03192,9.129072682
100000,-0.25,-0.2756,0.03221,8.55634896
100000,0,-0.2369,0.033,7.178787879
100000,0.25,-0.2212,0.03312,6.678743961
